Name,Rate,Name,Link,Year,Start_year,End_year,mean_all,mean_last
Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,152.,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,/title/tt0994314/,(2006–2012),2006,2012,8.286,8.508000000000001
The Inbetweeners,153.,The Inbetweeners,/title/tt1220617/,(2008–2010),2008,2010,8.283333333333335,8.399999999999999
Hagane no renkinjutsushi,154.,Hagane no renkinjutsushi,/title/tt0421357/,(2003–2004),2003,2004,8.058823529411764,8.058823529411764
Ramayan,156.,Ramayan,/title/tt0268093/,(1987–1988),1987,1988,9.243589743589743,9.243589743589743
Orphan Black,158.,Orphan Black,/title/tt2234222/,(2013–2017),2013,2017,8.536,8.5
Buffy - Vampyrernes skræk,160.,Buffy - Vampyrernes skræk,/title/tt0118276/,(1997–2003),1997,2003,8.11655172413793,8.049999999999999
Chuck,161.,Chuck,/title/tt0934814/,(2007–2012),2007,2012,8.603296703296705,8.46153846153846
The Mentalist,163.,The Mentalist,/title/tt1196946/,(2008–2015),2008,2015,8.144370860927152,8.26153846153846
Black Books,165.,Black Books,/title/tt0262150/,(2000–2004),2000,2004,8.144444444444446,8.066666666666668
Das Boot,166.,Das Boot,/title/tt0081834/,(1985–1987),1985,1987,8.7,8.7
Dragon Ball,167.,Dragon Ball,/title/tt0280249/,(1995–2003),1995,2003,7.628758169934639,7.406451612903226
White Collar,168.,White Collar,/title/tt1358522/,(2009–2014),2009,2014,8.04320987654321,8.333333333333334
Criminal Minds,171.,Criminal Minds,/title/tt0452046/,(2005–2020),2005,2020,7.726625386996903,7.839999999999999
Anne,172.,Anne,/title/tt5421602/,(2017–2019),2017,2019,9.055555555555557,9.32
The Originals,173.,The Originals,/title/tt2632424/,(2013–2018),2013,2018,8.843478260869565,8.423076923076923
Dengang i 70'erne,174.,Dengang i 70'erne,/title/tt0165598/,(1998–2006),1998,2006,7.601499999999999,6.75
30 Rock,175.,30 Rock,/title/tt0496424/,(2006–2013),2006,2013,8.026811594202899,8.066666666666668
Psych,177.,Psych,/title/tt0491738/,(2006–2014),2006,2014,8.326666666666666,7.99
Penny Dreadful,178.,Penny Dreadful,/title/tt2628232/,(2014–2016),2014,2016,8.485185185185186,8.522222222222222
Ash vs Evil Dead,180.,Ash vs Evil Dead,/title/tt4189022/,(2015–2018),2015,2018,8.58,8.639999999999999
Legion,181.,Legion,/title/tt5114356/,(2017–2019),2017,2019,8.577777777777778,8.649999999999999
Hercule Poirot,182.,Hercule Poirot,/title/tt0094525/,(1989–2013),1989,2013,7.725714285714287,8.059999999999999
Shin Seiki Evangelion,183.,Shin Seiki Evangelion,/title/tt0112159/,(1995–1996),1995,1996,8.13076923076923,8.13076923076923
Castle,185.,Castle,/title/tt1219024/,(2009–2016),2009,2016,8.347398843930637,7.972727272727272
Altered Carbon,188.,Altered Carbon,/title/tt2261227/,(2018–2020),2018,2020,7.561111111111111,6.6625
Father Ted,189.,Father Ted,/title/tt0111958/,(1995–1998),1995,1998,8.492,8.75
The End of the F***ing World,190.,The End of the F***ing World,/title/tt6257970/,(2017–2019),2017,2019,8.2375,8.287500000000001
The Good Place,191.,The Good Place,/title/tt4955642/,(2016–2020),2016,2020,8.272,8.16153846153846
The Leftovers,192.,The Leftovers,/title/tt2699128/,(2014–2017),2014,2017,8.882142857142858,9.15
Ray Donovan,193.,Ray Donovan,/title/tt2249007/,(2013–2020),2013,2020,8.36951219512195,8.32
Samurai Jack,195.,Samurai Jack,/title/tt0278238/,(2001–2017),2001,2017,8.688709677419354,9.360000000000001
